"","ISO.code","country","RefDate","mstatus","agegroup","G1.1_Using_Limit","G1.2_Using_Space","G2.1_Unmet_Limit","G2.2_Unmet_Space","G2.3_No_Unmet","G4.1_Unmet_Limit","G4.2_Unmet_Space","G4.3_No_Unmet","Missing","G5_total","G7.1_cp_limiting","G7.2_cp_space","G8.1_unmet_limit","G8.2_unmet_space","G8.3_unmet_total","G8.4_LUP","G7.3_cp_total","G7.4_cp_limiting_proportion","Major.area_d"
"1",12,"Algeria",2012.5,"Married/In-union","[Total]",5057.951814,5766.644525,122.1246788,190.202182,1861.190797,662.5031074,999.9340865,1976.189823,0,18934.5964,0.267127522,0.304555978,0.041438844,0.062855117,0.104293961,0.397327358196703,0.5716835,0.467264705033467,"W Asia and N Africa"
"2",50,"Bangladesh",2012.5,"Married/In-union","[Total]",17961.74769,8169.415877,382.3217444,424.6251568,2738.691824,3176.68811,1888.851329,2107.175218,0,42262.62236,0.425003151,0.193301206,0.084211761,0.054740486,0.138952247,0.606048213095827,0.618304357,0.687368843820067,"Asia"
"3",52,"Barbados",2012,"Married/In-union","[Total]",357.8684952,232.8839408,7.431491699,21.02839356,22.73022255,144.9643523,99.8815644,56.4549262,0,997.7771741,0.358665747,0.233402754,0.152735348,0.121179318,0.273914667,0.55760193374384,0.592068501,0.605784206378512,"Latin America and the Caribbean"
"4",64,"Bhutan",2010,"Married/In-union","[Total]",5328.450072,1251.113379,127.20528,57.114694,687.628326,959.174418,549.265228,408.969524,0,10029.196,0.531293842,0.124747126,0.108321714,0.060461469,0.168783183,0.641780253664253,0.656040968,0.809848573359217,"Asia"
"5",70,"Bosnia and Herzegovina",2011.5,"Married/In-union","[Total]",962.5777533,309.1370495,3.73421403,3.83938866,101.9261436,720.3251603,159.1703556,183.2382409,0,2763.550234,0.348312016,0.111862287,0.262003334,0.058985627,0.320988961,0.816237833175827,0.460174303,0.756913225552275,"Europe"
"6",84,"Belize",2011,"Married/In-union","[Total]",926.9144111,389.3761263,24.14257674,54.44767,182.7632928,269.2492928,207.3421761,160.2015971,0,2386.449358,0.388407325,0.163161278,0.122940748,0.109698471,0.232639219,0.528460972868036,0.551568603,0.704186791792426,"Latin America and the Caribbean"
"7",112,"Belarus",2012,"Married/In-union","[Total]",1549.985474,962.7227956,4.673171848,10.48867067,223.7981092,343.9598294,192.2479183,296.6601587,0,3984.7636,0.388978025,0.241600981,0.087491514,0.050877946,0.138369461,0.632303641046921,0.630579006,0.616858508289761,"Europe"
"8",120,"Cameroon",2014,"Married/In-union","[Total]",722.7018826,1238.707688,55.20859364,162.0607822,1290.284993,359.2119519,448.7489528,760.5856278,0,5703.991752,0.126701074,0.217165056,0.072654478,0.10708461,0.179739089,0.404221910794262,0.34386613,0.368460464541826,"Africa"
"9",140,"Central African Republic",2010,"Married/In-union","[Total]",378.2163957,1176.66106,191.4976368,631.5552508,2332.139875,754.222016,1851.954975,1410.300209,0,10242.63709,0.036925686,0.114878722,0.092331657,0.242467853,0.33479951,0.275781935881567,0.151804408,0.243245150035432,"Africa"
"10",148,"Chad",2010,"Married/In-union","[Total]",95.65015935,518.0788114,150.2045265,1345.470972,3756.666027,550.135808,2396.675107,1884.499279,0,12652.70719,0.00755966,0.040946084,0.055351027,0.29575853,0.351109557,0.157646027846516,0.048505744,0.155850820471901,"Africa"
"11",180,"Democratic Republic of the Congo",2010,"Married/In-union","[Total]",468.9500154,1054.439767,154.9672029,883.6281784,2069.233129,632.7461252,1211.497372,1138.92193,0,8595.457187,0.054557891,0.122674076,0.091642982,0.243748006,0.335390988,0.273242231541415,0.177231967,0.3078332420697,"Africa"
"12",188,"Costa Rica",2011,"Married/In-union","[Total]",1624.790459,461.7747613,32.97691731,28.71387452,112.5183662,141.9903526,100.0060336,90.09452682,0,2736.558346,0.593734996,0.168742889,0.063936978,0.047037151,0.110974129,0.576143093675464,0.762477885,0.778691431817724,"Latin America and the Caribbean"
"13",192,"Cuba",2010.5,"Married/In-union","[Total]",3247.588556,1136.392685,26.21843838,20.23260374,150.0695083,376.2312351,197.558947,294.3579225,0,5899.148939,0.550518149,0.192636717,0.06822165,0.036919148,0.105140798,0.64885992210179,0.743154866,0.740785230894256,"Latin America and the Caribbean"
"14",192,"Cuba",2014,"Married/In-union","[Total]",2947.702341,874.7799138,8.438607555,31.05227993,143.8285573,224.6044828,151.8616271,190.1450731,0,5185.144799,0.568489879,0.168708869,0.044944375,0.035276528,0.080220903,0.560257655040358,0.737198748,0.771148730979668,"Latin America and the Caribbean"
"15",204,"Benin",2014,"Married/In-union","[Total]",828.0607425,1151.475409,335.4220402,827.2568577,2200.251842,1032.993796,1476.886841,1270.571121,0,11081.66139,0.07472352,0.103908193,0.123484718,0.20792403,0.331408749,0.372605486042856,0.178631713,0.418310493389267,"Africa"
"16",214,"Dominican Republic",2014,"Married/In-union","[Total]",7525.586358,3012.251566,130.6610917,365.4673012,764.7628275,507.5506067,724.7705685,818.7693136,0,15133.81068,0.497269757,0.199041182,0.042171249,0.072039878,0.114211127,0.369239408696142,0.696310939,0.714148994577263,"Latin America and the Caribbean"
"17",222,"El Salvador",2014,"Married/In-union","[Total]",3476.355389,1577.099948,21.77299942,115.3335319,365.2139375,285.0118371,356.8513304,280.4192886,0,7023.734846,0.494943996,0.224538651,0.043678306,0.067227034,0.11090534,0.393834111143792,0.719482647,0.687916516213073,"Latin America and the Caribbean"
"18",275,"State of Palestine",2010,"Married/In-union","[Total]",3391.6828,2186.996999,210.0947055,374.3967424,1426.105077,640.8909655,698.3052713,287.9421079,0,10621.35555,0.319326736,0.205905639,0.080120251,0.100994831,0.181115082,0.442372054912578,0.525232375,0.607972301783568,"W Asia and N Africa"
"19",275,"State of Palestine",2014,"Married/In-union","[Total]",2884.777467,1668.350851,77.1925311,220.914714,822.4537224,286.7863247,280.9412311,621.297906,0,7960.207565,0.36239978,0.20958635,0.045724795,0.063045585,0.10877038,0.420379105046797,0.57198613,0.633581412192635,"W Asia and N Africa"
"20",288,"Ghana",2011,"Married/In-union","[Total]",1016.590788,1263.79755,173.7699278,393.4182682,832.5227938,760.6890669,763.71192,730.8397444,0,6573.558484,0.154648474,0.192254705,0.142154207,0.176027975,0.318182182,0.446769854007727,0.346903179,0.445797223437955,"Africa"
"21",328,"Guyana",2014,"Married/In-union","[Total]",727.136018,448.24274,38.252565,103.8307,183.44127,382.41521,442.273591,209.310382,0,3450.324971,0.210744212,0.129913195,0.121921204,0.15827619,0.280197394,0.43512611684033,0.340657407,0.618639746764702,"Latin America and the Caribbean"
"22",368,"Iraq",2011,"Married/In-union","[Total]",0,18169.62735,373.493368,459.9901067,5580.477054,1616.870251,1549.43239,4971.460411,0,34636.64803,0,0.52457811,0.057464095,0.058014346,0.115478441,0.497617516329303,0.52457811,0,"W Asia and N Africa"
"23",398,"Kazakhstan",2010.5,"Married/In-union","[Total]",2151.724221,2149.276962,9.994009194,83.02272405,748.2679557,791.1617559,749.9629607,664.0633004,0,8433.991138,0.255125265,0.254835098,0.094991298,0.098765302,0.1937566,0.49026096659417,0.509960363,0.500284499562175,"Asia"
"24",398,"Kazakhstan",2015,"Married/In-union","[Total]",2165.213848,2488.124157,5.82336267,47.85785693,966.1982995,349.4176984,415.6526618,544.2093924,0,8350.60447,0.259288277,0.297957371,0.04254076,0.055506224,0.098046984,0.433881372628453,0.557245648,0.465303368327069,"Asia"
"25",417,"Kyrgyzstan",2014,"Married/In-union","[Total]",802.4316908,1191.040987,5.000379914,47.91589618,741.7909927,340.5968229,513.4903403,395.6656169,0,4749.729599,0.168942605,0.250759746,0.072761448,0.118197515,0.190958963,0.38103185551966,0.419702351,0.40252956553012,"Asia"
"26",418,"Lao People's Democratic Republic",2011.5,"Married/In-union","[Total]",5686.044252,2458.734792,180.3668667,121.7628929,2076.027668,1744.306168,1215.801031,933.8099049,0,16367.75742,0.347392994,0.150218184,0.117589294,0.081719437,0.199308731,0.589985663999838,0.497611178,0.698121363342847,"Asia"
"27",454,"Malawi",2013.5,"Married/In-union","[Total]",4449.833019,5033.563205,373.7807859,1038.810313,1731.740364,813.5140447,918.422875,624.1581075,0,16176.01184,0.275088388,0.31117455,0.073398489,0.120996028,0.194394518,0.377574891283714,0.586262938,0.469223568759859,"Africa"
"28",466,"Mali",2009.5,"Married/In-union","[Total]",437.6828333,1625.752499,167.7199234,826.3010041,6731.91152,1656.620965,4476.169493,3513.856815,0,21020.05826,0.020822151,0.077342911,0.086790477,0.25225765,0.339048127,0.255982764948293,0.098165062,0.212113664228114,"Africa"
"29",466,"Mali",2015,"Married/In-union","[Total]",609.759534,1676.08577,254.7378,835.153237,3757.779204,832.021988,2581.819589,1652.861933,0,14679.50828,0.041538144,0.114178605,0.074032438,0.232771613,0.306804052,0.241302021656481,0.155716749,0.266754503075324,"Africa"
"30",478,"Mauritania",2011,"Married/In-union","[Total]",172.8474737,698.6478733,117.3406017,388.0020194,1612.097321,938.6327162,1476.688656,1324.150131,0,7621.241068,0.022679702,0.091671142,0.138556609,0.244670213,0.383226822,0.361552482879186,0.114350844,0.198334364720561,"Africa"
"31",484,"Mexico",2015,"Married/In-union","[Total]",3821.539772,1103.341305,32.40329117,91.77536135,292.6766091,541.8560066,285.4326893,233.1266678,0,7361.469289,0.519127313,0.149880583,0.078008788,0.051240865,0.129249653,0.603551237387075,0.669007896,0.775965898315795,"Latin America and the Caribbean"
"32",496,"Mongolia",2010,"Married/In-union","[Total]",2010.447762,1066.119747,17.01030401,25.38207585,563.9061727,763.117135,363.3032366,312.404257,0,5603.344463,0.358794248,0.190264895,0.139225322,0.069366664,0.208591986,0.667452880955839,0.549059143,0.653471037818598,"Asia"
"33",496,"Mongolia",2013.5,"Married/In-union","[Total]",2555.064583,2179.422065,57.1089814,151.2846154,964.9979669,856.2907771,436.5673315,533.6208725,0,8673.874984,0.294570142,0.251262794,0.105304695,0.067772702,0.173077397,0.60842546066255,0.545832936,0.53967088200775,"Asia"
"34",498,"Republic of Moldova",2012,"Married/In-union","[Total]",1451.1585,970.9652682,5.268898307,22.49202489,205.3396525,424.1139527,217.586624,348.8094868,0,4073.217798,0.356268329,0.23837794,0.105416129,0.058940784,0.164356912,0.641385431967717,0.594646269,0.599126485059978,"Europe"
"35",499,"Montenegro",2013,"Married/In-union","[Total]",259.0143572,197.2875642,0.628234313,7.53994553,148.1880278,209.7310387,208.5974138,196.5872816,0,1954.899507,0.132494973,0.100919543,0.107606182,0.110561877,0.21816806,0.493226102849335,0.233414516,0.567638102679098,"Europe"
"36",524,"Nepal",2014,"Married/In-union","[Total]",4695.767398,686.240661,81.76136464,63.57336915,995.3007381,1566.553969,1018.588889,291.3788555,0,10829.5857,0.433605452,0.063367213,0.152204838,0.099926469,0.252131307,0.603672902865648,0.496972665,0.872493564610842,"Asia"
"37",566,"Nigeria",2011,"Married/In-union","[Total]",1617.437478,2198.549508,342.3345969,628.6596271,6397.221399,1790.022288,2876.660682,4152.502257,0,21740.42715,0.074397686,0.101127245,0.098082566,0.161235117,0.259317683,0.378233234484052,0.175524931,0.423858226726778,"Africa"
"38",591,"Panama",2013,"Married/In-union","[Total]",266439.2448,96238.28006,11055.22032,17077.90406,21435.45117,46598.70853,30393.28418,21554.43262,0,577225.5161,0.461586048,0.166725617,0.099881116,0.08224028,0.182121397,0.548431527790225,0.628311665,0.73464503957602,"Latin America and the Caribbean"
"39",600,"Paraguay",2015.5,"Married/In-union","[Total]",1565.737337,1330.948443,24.52474845,65.45314699,199.6877198,269.6714834,154.4233563,190.3168736,0,4237.405749,0.369503755,0.314095114,0.069428384,0.051889414,0.121317798,0.572285230564439,0.683598869,0.540527159649236,"Latin America and the Caribbean"
"40",624,"Guinea-Bissau",2014,"Married/In-union","[Total]",370.5332966,525.8011523,51.77257859,154.2194549,1543.229191,322.990074,724.2554399,778.4703183,0,5615.728375,0.065981342,0.09363009,0.066734469,0.156431158,0.223165628,0.299035606863258,0.159611432,0.413387319274223,"Africa"
"41",662,"Saint Lucia",2012,"Married/In-union","[Total]",226.9053679,170.9531203,2.18352053,7.307150926,16.5533144,108.4965435,84.2809939,44.01662195,0,717.2247261,0.316365791,0.238353635,0.154317134,0.127697975,0.282015108,0.547194563774931,0.554719426,0.570316769472573,"Latin America and the Caribbean"
"42",678,"Sao Tome and Principe",2014,"Married/In-union","[Total]",333.755653,327.182696,52.871634,125.812805,141.937507,201.301652,152.244742,104.938488,0,1628.927565,0.204892876,0.200857732,0.156037194,0.170699762,0.326736955,0.477562123329453,0.405750608,0.50497244356563,"Africa"
"43",688,"Serbia",2014,"Married/In-union","[Total]",1177.25604,485.0959957,1.848621839,7.982378979,139.7382281,302.5068648,113.0074853,188.5934963,0,2846.454964,0.413586744,0.170421103,0.106924399,0.042505455,0.149429854,0.715549109751523,0.584007847,0.708186963796053,"Europe"
"44",694,"Sierra Leone",2010,"Married/In-union","[Total]",385.3281003,607.7301037,172.3202446,185.6872365,2031.079192,993.453068,1811.281728,1927.158424,0,9011.93691,0.042757523,0.067436125,0.129358796,0.221591538,0.350950335,0.368595733068612,0.110193648,0.388021667092825,"Africa"
"45",704,"Viet Nam",2010.5,"Married/In-union","[Total]",4986.695868,1500.783318,31.34814536,72.58416045,426.4268395,334.6016803,201.589385,311.8676024,0,8341.345939,0.597828684,0.179921002,0.043871796,0.032869221,0.076741017,0.571686403374091,0.777749686,0.768664642058113,"Asia"
"46",704,"Viet Nam",2013.5,"Married/In-union","[Total]",4050.882816,1278.315905,27.22465266,84.71397077,533.6372694,227.9605641,89.79633884,216.9564485,0,7038.10903,0.575564089,0.18162775,0.036257639,0.024795056,0.061052695,0.593874504638985,0.757191839,0.760129810379533,"Asia"
"47",716,"Zimbabwe",2014,"Married/In-union","[Total]",2598.242061,3507.423866,85.40855261,290.5758357,868.1213354,331.1581402,238.8442833,693.1116567,0,9111.684611,0.28515496,0.384936926,0.045717857,0.058103429,0.103821286,0.440351480523946,0.670091886,0.425546057126858,"Africa"
"48",728,"South Sudan",2010,"Married/In-union","[Total]",53.12579098,247.804387,88.09239945,225.0056403,1993.608169,589.6009447,1632.246814,1231.52777,0,7350.178355,0.007227823,0.033714064,0.092200939,0.252681277,0.344882216,0.267340369327713,0.040941887,0.176538589928696,"Africa"
"49",729,"Sudan",2010,"Married/In-union","[Total]",340.2704342,656.3500803,164.792792,599.242211,3176.210697,1104.812671,1868.534652,2140.381295,0,11005.88634,0.030917131,0.059636276,0.115356948,0.224223364,0.339580313,0.339704463373882,0.090553407,0.341424271314275,"W Asia and N Africa"
"50",729,"Sudan",2014,"Married/In-union","[Total]",0,1585.118478,188.643911,592.1430104,3172.794125,704.7344298,1668.582495,1574.954627,0,11866.78541,0,0.133576063,0.075283938,0.19050867,0.265792608,0.283243159267996,0.133576063,0,"W Asia and N Africa"
"51",740,"Suriname",2010,"Married/In-union","[Total]",1105.899863,517.0171341,26.49387579,66.48871397,186.0613636,529.4500012,297.8061009,336.7758819,0,3405.801295,0.324710624,0.151804844,0.163234384,0.106963027,0.270197411,0.604130081764551,0.476515468,0.681427248023772,"Latin America and the Caribbean"
"52",748,"Swaziland",2010,"Married/In-union","[Total]",832.523604,394.28267,37.34873,55.025834,71.84506,179.927984,58.978738,128.768534,0,1881.861752,0.442393605,0.209517341,0.115458383,0.060580737,0.17603912,0.655867758257369,0.651910946,0.678610487696889,"Africa"
"53",748,"Swaziland",2014,"Married/In-union","[Total]",818.2896347,444.1220619,30.75609877,37.83468943,93.18997485,148.4575094,73.63503311,88.64522828,0,1908.659313,0.428724827,0.23268797,0.093895022,0.058402105,0.152297127,0.616525234911358,0.661412797,0.64819554285098,"Africa"
"54",764,"Thailand",2012.5,"Married/In-union","[Total]",9375.544072,2497.824054,62.20451195,54.36870582,482.1934619,605.0585198,621.8307159,541.6496194,0,14977.44468,0.625977546,0.166772377,0.044551193,0.04514785,0.089699043,0.496674117247828,0.792749923,0.789628012363743,"Asia"
"55",768,"Togo",2010,"Married/In-union","[Total]",241.0715071,381.7363321,129.3426547,267.4479504,609.2669032,602.2839151,761.3067656,638.7056881,0,4103.91229,0.058741876,0.093017663,0.178275391,0.250676585,0.428951976,0.415606876700808,0.151759539,0.387072050871214,"Africa"
"56",788,"Tunisia",2011.5,"Married/In-union","[Total]",2348.141376,787.5093871,39.58829763,64.87009444,395.3516695,329.6914163,155.9785854,273.2912983,0,5015.110564,0.468213282,0.157027323,0.073633414,0.044036652,0.117670067,0.62576163910912,0.625240605,0.748852966771088,"W Asia and N Africa"
"57",795,"Turkmenistan",2015,"Married/In-union","[Total]",1628.567054,825.086827,1.018584601,2.729524482,668.606498,229.6636158,359.1425305,448.3651069,0,4887.163173,0.333233616,0.168827354,0.047201657,0.074045421,0.121247078,0.389301398257202,0.50206097,0.663731371112158,"Asia"
"58",804,"Ukraine",2012,"Married/In-union","[Total]",2057.873272,1248.70945,4.467131504,0.897805074,243.6337801,263.0035224,251.4659398,322.8412135,0,5051.389983,0.407387527,0.247201157,0.052949912,0.049959268,0.10290918,0.514530501554866,0.654588684,0.622356507158929,"Europe"
"59",807,"TFYR Macedonia",2011,"Married/In-union","[Total]",745.9234769,279.6751321,4.811033336,10.88290498,122.0112278,733.5568502,178.2702722,217.7754508,0,2537.343969,0.293978068,0.110223578,0.291000311,0.074547708,0.365548019,0.796065895244258,0.404201646,0.727305469706078,"Europe"
